Year,Industry,Industry_GDP,Industry_GDP_Share,Industry_GDP_Growth,Industry_Growth_Contribution,Growth_Volatility,Industry_Rank_BEA,Industry_Employment,Employment_Growth,Industry_Employment_Share,Top3_Employment_Share,Industry_Rank_BLS,GDP_per_Worker,Employment_vs_Growth_Alignment
2009-01-01,Construction,3.57,4.9,-4.0,-0.2,13.2,8,34075,-12.4,4.79,55.6,7,104789,2.48
2009-01-01,Finance and Insurance,2.95,4.1,10.0,0.37,4.4,9,19775,-4.1,2.78,55.6,10,149016,-1.52
2009-01-01,Government,12.83,17.7,2.0,0.34,1.4,1,150025,1.7,21.1,55.6,1,85551,0.58
2009-01-01,Health Care and Social Assistance,6.84,9.4,3.2,0.29,2.3,6,109241,2.4,15.37,55.6,3,62582,0.7
2009-01-01,Information,1.26,1.7,-4.9,-0.09,6.0,12,10433,-6.5,1.47,55.6,11,121115,0.58
2009-01-01,Leisure and Hospitality,2.76,3.8,-2.2,-0.09,7.2,10,71883,-1.4,10.11,55.6,4,38409,0.12
2009-01-01,Manufacturing,7.57,10.4,5.0,0.5,4.9,5,50550,-10.7,7.11,55.6,6,149766,-5.34
2009-01-01,Mining and Logging,7.66,10.6,-4.2,-0.46,6.5,4,29825,-4.2,4.2,55.6,8,256694,1.95
2009-01-01,Other Services,1.69,2.3,-3.9,-0.09,4.1,11,25275,-0.1,3.56,55.6,9,67026,0.01
2009-01-01,Private Educational Services,0.43,0.6,6.4,0.04,5.0,13,6783,-1.8,0.95,55.6,13,63954,-0.07
2009-01-01,Professional and Business Services,4.96,6.8,-4.7,-0.34,5.7,7,60225,-1.3,8.47,55.6,5,82432,0.45
2009-01-01,Real Estate and Rental and Leasing,7.73,10.7,1.3,0.14,4.0,3,7025,-5.8,0.99,55.6,12,1100270,-0.81
2009-01-01,"Trade, Transportation, and Utilities",12.21,16.8,-4.0,-0.71,3.0,2,135816,-4.1,19.1,55.6,2,89866,2.92
