Year,Labor_Force,Labor_Force_Participation_Rate,Unemployment_Rate,Unemployment_Rate_YoY_Change,Labor_Force_YoY_Change,Labor_Force_Participation_Rate_YoY_Change
2009-01-01,815892,55.28,7.98,76.55,0.61,0.09
2010-01-01,810913,54.69,8.4,5.26,-0.61,-1.07
2011-01-01,807080,54.29,7.71,-8.21,-0.47,-0.73
2012-01-01,809125,54.41,7.2,-6.61,0.25,0.22
2013-01-01,801166,53.92,6.71,-6.81,-0.98,-0.9
2014-01-01,797470,53.76,6.49,-3.28,-0.46,-0.3
2015-01-01,791935,53.57,6.54,0.77,-0.69,-0.35
2016-01-01,785076,53.31,6.08,-7.03,-0.87,-0.49
2017-01-01,783370,53.54,5.2,-14.47,-0.22,0.43
2018-01-01,791018,54.41,5.14,-1.15,0.98,1.62
2019-01-01,792039,54.74,4.92,-4.28,0.13,0.61
2020-01-01,776637,53.83,8.33,69.31,-1.94,-1.66
2021-01-01,773058,53.76,5.14,-38.3,-0.46,-0.13
2022-01-01,779844,54.44,3.86,-24.9,0.88,1.26
2023-01-01,786607,54.93,3.86,0.0,0.87,0.9
2024-01-01,786865,54.86,4.09,5.96,0.03,-0.13
