Filing Year,Industry,New Businesses,Closures,Net Growth,YoY % Change,Total New Biz,Industry Share,HHI,Cumulative Active Biz,Closure Rate,Business Churn Ratio,Total Net Growth,Growth Contribution,Industry Growth Rank
2008,Construction,637,3,634,,9770,7.0,2870,634,0.0,0.0,9484,7.0,5
2008,Finance and Insurance,307,2,305,,9770,3.0,2870,305,1.0,1.0,9484,3.0,7
2008,Government,19,0,19,,9770,0.0,2870,19,0.0,0.0,9484,0.0,14
2008,Health Care and Social Assistance,204,1,203,,9770,2.0,2870,203,0.0,0.0,9484,2.0,11
2008,Information,109,1,108,,9770,1.0,2870,108,1.0,1.0,9484,1.0,12
2008,Leisure and Hospitality,247,1,246,,9770,3.0,2870,246,0.0,0.0,9484,3.0,10
2008,Manufacturing,265,0,265,,9770,3.0,2870,265,0.0,0.0,9484,3.0,9
2008,Mining and Logging,294,3,291,,9770,3.0,2870,291,1.0,1.0,9484,3.0,8
2008,Other Services,407,5,402,,9770,4.0,2870,402,1.0,1.0,9484,4.0,6
2008,Private Educational Services,80,0,80,,9770,1.0,2870,80,0.0,0.0,9484,1.0,13
2008,Professional and Business Services,726,8,718,,9770,7.0,2870,718,1.0,1.0,9484,8.0,3
2008,Real Estate and Rental and Leasing,808,1,807,,9770,8.0,2870,807,0.0,0.0,9484,9.0,2
2008,"Trade, Transportation, and Utilities",645,3,642,,9770,7.0,2870,642,0.0,0.0,9484,7.0,4
2008,Unknown Industry,5022,258,4764,,9770,51.0,2870,4764,5.0,5.0,9484,50.0,1
2009,Construction,676,20,656,6.12,9547,7.0,2442,1290,2.0,3.0,7810,8.0,5
2009,Finance and Insurance,301,9,292,-1.95,9547,3.0,2442,597,2.0,3.0,7810,4.0,8
2009,Government,21,1,20,10.53,9547,0.0,2442,39,3.0,5.0,7810,0.0,14
2009,Health Care and Social Assistance,227,9,218,11.27,9547,2.0,2442,421,2.0,4.0,7810,3.0,11
2009,Information,111,2,109,1.83,9547,1.0,2442,217,1.0,2.0,7810,1.0,12
2009,Leisure and Hospitality,271,18,253,9.72,9547,3.0,2442,499,4.0,7.0,7810,3.0,10
2009,Manufacturing,260,4,256,-1.89,9547,3.0,2442,521,1.0,2.0,7810,3.0,9
2009,Mining and Logging,337,4,333,14.63,9547,4.0,2442,624,1.0,1.0,7810,4.0,7
2009,Other Services,555,29,526,36.36,9547,6.0,2442,928,3.0,5.0,7810,7.0,6
2009,Private Educational Services,86,4,82,7.5,9547,1.0,2442,162,2.0,5.0,7810,1.0,13
2009,Professional and Business Services,802,29,773,10.47,9547,8.0,2442,1491,2.0,4.0,7810,10.0,2
2009,Real Estate and Rental and Leasing,724,17,707,-10.4,9547,8.0,2442,1514,1.0,2.0,7810,9.0,4
2009,"Trade, Transportation, and Utilities",797,38,759,23.57,9547,8.0,2442,1401,3.0,5.0,7810,10.0,3
2009,Unknown Industry,4379,1553,2826,-12.8,9547,46.0,2442,7590,20.0,35.0,7810,36.0,1
2010,Construction,828,48,780,22.49,9612,9.0,2021,2070,2.0,6.0,6551,12.0,2
2010,Finance and Insurance,327,12,315,8.64,9612,3.0,2021,912,1.0,4.0,6551,5.0,8
2010,Government,20,0,20,-4.76,9612,0.0,2021,59,0.0,0.0,6551,0.0,14
